File RaireData/Input/NSW15/Albury.raire, Contest 1, asn 31.0, 0.06%
File RaireData/Input/NSW15/Auburn.raire, Contest 1, asn 74.0, 0.15%
File RaireData/Input/NSW15/Ballina.raire, Contest 1, asn 155.0, 0.32%
File RaireData/Input/NSW15/Balmain.raire, Contest 1, asn 99.0, 0.20%
File RaireData/Input/NSW15/Bankstown.raire, Contest 1, asn 33.0, 0.07%
File RaireData/Input/NSW15/Barwon.raire, Contest 1, asn 33.0, 0.07%
File RaireData/Input/NSW15/Bathurst.raire, Contest 1, asn 25.0, 0.05%
File RaireData/Input/NSW15/Baulkham_Hills.raire, Contest 1, asn 18.0, 0.04%
File RaireData/Input/NSW15/Bega.raire, Contest 1, asn 47.0, 0.09%
File RaireData/Input/NSW15/Blacktown.raire, Contest 1, asn 30.0, 0.06%
File RaireData/Input/NSW15/Blue_Mountains.raire, Contest 1, asn 48.0, 0.10%
File RaireData/Input/NSW15/Cabramatta.raire, Contest 1, asn 24.0, 0.05%
File RaireData/Input/NSW15/Camden.raire, Contest 1, asn 22.0, 0.04%
File RaireData/Input/NSW15/Campbelltown.raire, Contest 1, asn 54.0, 0.11%
File RaireData/Input/NSW15/Canterbury.raire, Contest 1, asn 27.0, 0.05%
File RaireData/Input/NSW15/Castle_Hill.raire, Contest 1, asn 13.0, 0.03%
File RaireData/Input/NSW15/Cessnock.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW15/Charlestown.raire, Contest 1, asn 32.0, 0.06%
File RaireData/Input/NSW15/Clarence.raire, Contest 1, asn 42.0, 0.09%
File RaireData/Input/NSW15/Coffs_Harbour.raire, Contest 1, asn 32.0, 0.07%
File RaireData/Input/NSW15/Coogee.raire, Contest 1, asn 137.0, 0.29%
File RaireData/Input/NSW15/Cootamundra.raire, Contest 1, asn 18.0, 0.04%
File RaireData/Input/NSW15/Cronulla.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW15/Davidson.raire, Contest 1, asn 13.0, 0.03%
File RaireData/Input/NSW15/Drummoyne.raire, Contest 1, asn 21.0, 0.04%
File RaireData/Input/NSW15/Dubbo.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW15/East_Hills.raire, Contest 1, asn 1393.5, 2.76%
File RaireData/Input/NSW15/Epping.raire, Contest 1, asn 24.0, 0.05%
File RaireData/Input/NSW15/Fairfield.raire, Contest 1, asn 24.0, 0.05%
File RaireData/Input/NSW15/Gosford.raire, Contest 1, asn 3740.5, 7.43%
File RaireData/Input/NSW15/Goulburn.raire, Contest 1, asn 60.0, 0.12%
File RaireData/Input/NSW15/Granville.raire, Contest 1, asn 207.0, 0.43%
File RaireData/Input/NSW15/Hawkesbury.raire, Contest 1, asn 25.0, 0.05%
File RaireData/Input/NSW15/Heathcote.raire, Contest 1, asn 53.0, 0.10%
File RaireData/Input/NSW15/Heffron.raire, Contest 1, asn 30.0, 0.06%
File RaireData/Input/NSW15/Holsworthy.raire, Contest 1, asn 61.0, 0.12%
File RaireData/Input/NSW15/Hornsby.raire, Contest 1, asn 23.0, 0.04%
File RaireData/Input/NSW15/Keira.raire, Contest 1, asn 22.0, 0.04%
File RaireData/Input/NSW15/Kiama.raire, Contest 1, asn 44.0, 0.09%
File RaireData/Input/NSW15/Kogarah.raire, Contest 1, asn 63.0, 0.13%
File RaireData/Input/NSW15/Ku-ring-gai.raire, Contest 1, asn 18.0, 0.04%
File RaireData/Input/NSW15/Lake_Macquarie.raire, Contest 1, asn 41.0, 0.08%
File RaireData/Input/NSW15/Lakemba.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW15/Lane_Cove.raire, Contest 1, asn 25.0, 0.05%
File RaireData/Input/NSW15/Lismore.raire, Contest 1, asn 1140.0, 2.35%
File RaireData/Input/NSW15/Liverpool.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW15/Londonderry.raire, Contest 1, asn 46.0, 0.09%
File RaireData/Input/NSW15/Macquarie_Fields.raire, Contest 1, asn 50.0, 0.10%
File RaireData/Input/NSW15/Maitland.raire, Contest 1, asn 43.0, 0.09%
File RaireData/Input/NSW15/Manly.raire, Contest 1, asn 15.0, 0.03%
File RaireData/Input/NSW15/Maroubra.raire, Contest 1, asn 35.0, 0.07%
File RaireData/Input/NSW15/Miranda.raire, Contest 1, asn 33.0, 0.06%
File RaireData/Input/NSW15/Monaro.raire, Contest 1, asn 152.0, 0.32%
File RaireData/Input/NSW15/Mount_Druitt.raire, Contest 1, asn 26.0, 0.05%
File RaireData/Input/NSW15/Mulgoa.raire, Contest 1, asn 41.0, 0.08%
File RaireData/Input/NSW15/Murray.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW15/Myall_Lakes.raire, Contest 1, asn 48.0, 0.10%
File RaireData/Input/NSW15/Newcastle.raire, Contest 1, asn 56.0, 0.11%
File RaireData/Input/NSW15/Newtown.raire, Contest 1, asn 46.0, 0.10%
File RaireData/Input/NSW15/North_Shore.raire, Contest 1, asn 20.0, 0.04%
File RaireData/Input/NSW15/Northern_Tablelands.raire, Contest 1, asn 15.0, 0.03%
File RaireData/Input/NSW15/Oatley.raire, Contest 1, asn 59.0, 0.12%
File RaireData/Input/NSW15/Orange.raire, Contest 1, asn 18.0, 0.04%
File RaireData/Input/NSW15/Oxley.raire, Contest 1, asn 36.0, 0.07%
File RaireData/Input/NSW15/Parramatta.raire, Contest 1, asn 31.0, 0.06%
File RaireData/Input/NSW15/Penrith.raire, Contest 1, asn 69.0, 0.14%
File RaireData/Input/NSW15/Pittwater.raire, Contest 1, asn 15.0, 0.03%
File RaireData/Input/NSW15/Port_Macquarie.raire, Contest 1, asn 19.0, 0.04%
File RaireData/Input/NSW15/Port_Stephens.raire, Contest 1, asn 83.0, 0.17%
File RaireData/Input/NSW15/Prospect.raire, Contest 1, asn 125.0, 0.24%
File RaireData/Input/NSW15/Riverstone.raire, Contest 1, asn 31.0, 0.06%
